page_title,section_title,word_count,ref_count,effort
Zambia,Etymology,47,1,Medium
Zambia,History,5,0,High
Zambia,Prehistoric era,79,1,Medium
Zambia,Khoisan and Batwa,147,3,Medium
Zambia,The Bantu (Abantu),111,1,Medium
Zambia,Bantu origins,121,3,Medium
Zambia,First Bantu settlement,461,6,Low
Zambia,Second Bantu settlement,92,1,Medium
Zambia,Europeans,431,7,Low
Zambia,British colonisation,132,1,Medium
Zambia,Independence,243,4,Low
Zambia,Post Independence,403,5,Low
Zambia,Economic troubles,79,1,Medium
Zambia,Democratisation,122,2,Medium
Zambia,Politics,304,7,Low
Zambia,Foreign relations,63,0,High
Zambia,Military,52,1,Medium
Zambia,Administrative divisions,42,0,High
Zambia,Human rights,175,5,Medium
Zambia,Geography,824,3,Low
Zambia,Climate,181,1,Medium
Zambia,Biodiversity,216,5,Low
Zambia,Demographics,438,4,Low
Zambia,Largest towns,206,2,Medium
Zambia,Ethnic groups,571,19,Low
Zambia,Religion,521,22,Low
Zambia,Languages,353,7,Low
Zambia,Education,104,5,Medium
Zambia,Health,138,4,Medium
Zambia,Economy,609,16,Low
Zambia,Mining,371,17,Low
Zambia,Agriculture,137,5,Medium
Zambia,Tourism,169,7,Medium
Zambia,Energy,105,4,Medium
Zambia,Culture,452,7,Low
Zambia,Media,115,3,Medium
Zambia,Sports and games,815,14,Low
Zambia,Music and dance,81,1,Medium
Zambia,Zamrock,93,4,High
Zambia,Notable people,10,0,High
Zambia,See also,29,0,High
Zambia,Notes,83,0,High
Zambia,References,4688,3,Low
Zambia,Further reading,176,0,Medium
Zambia,External links,949,2,Medium
President of Zambia,Presidential term,47,1,Medium
President of Zambia,Northern Rhodesia,119,1,Medium
President of Zambia,Zambia,902,23,Low
President of Zambia,List of officeholders,201,6,Low
President of Zambia,Rank by time in office,70,0,High
President of Zambia,See also,26,0,High
President of Zambia,References,472,0,High
President of Zambia,External links,388,0,High
Outline of Zambia,General reference,70,0,High
Outline of Zambia,Geography of Zambia,106,0,Medium
Outline of Zambia,Environment of Zambia,79,0,High
Outline of Zambia,Natural geographic features of Zambia,114,1,Medium
Outline of Zambia,Regions of Zambia,3,0,High
Outline of Zambia,Ecoregions of Zambia,8,0,High
Outline of Zambia,Administrative divisions of Zambia,13,0,High
Outline of Zambia,Demography of Zambia,3,0,High
Outline of Zambia,Government and politics of Zambia,125,0,Medium
Outline of Zambia,Branches of the government of Zambia,3,0,High
Outline of Zambia,Executive branch of the government of Zambia,31,1,Medium
Outline of Zambia,Legislative branch of the government of Zambia,7,0,High
Outline of Zambia,Judicial branch of the government of Zambia,14,0,High
Outline of Zambia,Foreign relations of Zambia,17,0,High
Outline of Zambia,International organization membership,299,1,Medium
Outline of Zambia,Law and order in Zambia,21,0,High
Outline of Zambia,Military of Zambia,24,0,High
Outline of Zambia,Local government in Zambia,4,0,High
Outline of Zambia,History of Zambia,125,0,Medium
Outline of Zambia,Archaeological sites,15,0,High
Outline of Zambia,Disasters,5,0,High
Outline of Zambia,Topic,19,0,High
Outline of Zambia,Culture of Zambia,66,0,High
Outline of Zambia,Art in Zambia,6,0,High
Outline of Zambia,Music of Zambia,19,0,High
Outline of Zambia,Languages of Zambia,32,0,High
Outline of Zambia,People of Zambia,48,0,High
Outline of Zambia,Specific Zambians,5,0,High
Outline of Zambia,Religion,46,0,High
Outline of Zambia,Sport in Zambia,12,0,High
Outline of Zambia,Football in Zambia,13,0,High
Outline of Zambia,Other sports,48,0,High
Outline of Zambia,Economy and infrastructure of Zambia,258,0,High
Outline of Zambia,Education in Zambia,33,0,High
Outline of Zambia,See also,53,0,High
Outline of Zambia,References,96,0,High
Outline of Zambia,External links,163,0,Medium
Languages of Zambia,Indigenous Zambian languages,194,5,Medium
Languages of Zambia,Zambian English,139,2,Medium
Languages of Zambia,Percentage distribution of major language groups,45,1,Medium
Languages of Zambia,List of languages,74,1,Medium
Languages of Zambia,References,117,0,Medium
Languages of Zambia,Bibliography,261,0,High
Languages of Zambia,External links,751,0,High
Economy of Zambia,Economic policies soon after independence (1964–1967),169,0,Medium
Economy of Zambia,The Mulungushi Economic Reforms (1968),521,1,Medium
Economy of Zambia,Chiluba's economic reforms (1991–2000),293,3,Low
Economy of Zambia,2001–2010,291,13,Low
Economy of Zambia,2011–2020,218,6,Low
Economy of Zambia,From 2021,757,38,Low
Economy of Zambia,Public-Private Dialogue Forum (PPDF),62,1,Medium
Economy of Zambia,European Union (EU)–Zambia Economic Forum,131,5,Medium
Economy of Zambia,UK–Zambia Green Growth Compact,104,2,Medium
Economy of Zambia,World Bank Support,133,4,Medium
Economy of Zambia,African Export-Import Bank (Afreximbank) Support,39,1,Medium
Economy of Zambia,EAC-SADC-COMESA Free Trade Area,83,2,Medium
Economy of Zambia,Zambia-China Trade and Investment Forum,67,2,Medium
Economy of Zambia,Zambia-China bilateral trade growth,145,5,Medium
Economy of Zambia,U.S.-Zambia Business Summit,124,2,Medium
Economy of Zambia,Mining,865,30,Low
Economy of Zambia,Agriculture,570,15,Low
